sample1	sample2	ref	scaffold	length	common	commonPct	single	singlePct	singleAgree	singleAgreePct	sharedAlleles	sharedAllelesPct	variants	variantPct	commonVariant	commonVariantPct	variantExact	variantExactPct	AnotB	AnotBpct	AnotBweak	AnotBweakPct	BnotA	BnotApct	BnotAweak	BnotAweakPct	Agaps	AsharedGaps	AgapPct	Bgaps	BsharedGaps	BgapPct	gapJaccardSim
UMB11_03.1	UMB11_11	Esch_coli_1190	NZ_CP023386.1	4900891	390913	7.9764	390894	99.9951	390880	99.9964	390899	99.9964	100	0.0256	86	86.0000	67	67.0000	9	9.0000	8	8.0000	15	15.0000	14	14.0000	172806	172806	100.0000	165998	154893	93.3102	0.9916
UMB11_04.1	UMB11_06	Esch_coli_1190	NZ_CP023386.1	4900891	69584	1.4198	69563	99.9698	69536	99.9612	69557	99.9612	56	0.0805	29	51.7857	8	14.2857	2	3.5714	2	3.5714	45	80.3571	45	80.3571	139592	139592	100.0000	165099	132025	79.9672	0.9965
UMB11_04.1	UMB11_07	Esch_coli_1190	NZ_CP023386.1	4900891	78846	1.6088	78843	99.9962	78834	99.9886	78837	99.9886	20	0.0254	11	55.0000	8	40.0000	3	15.0000	3	15.0000	9	45.0000	9	45.0000	139592	139592	100.0000	171056	118475	69.2609	0.9883
UMB11_04.1	UMB11_08	Esch_coli_1190	NZ_CP023386.1	4900891	21435	0.4374	21434	99.9953	21433	99.9953	21434	99.9953	6	0.0280	5	83.3333	4	66.6667	1	16.6667	1	16.6667	0	0.0000	0	0.0000	139592	139592	100.0000	158445	134390	84.8181	0.9983
UMB11_04.1	UMB11_11	Esch_coli_1190	NZ_CP023386.1	4900891	120907	2.4670	120901	99.9950	120896	99.9959	120902	99.9959	34	0.0281	29	85.2941	23	67.6471	4	11.7647	3	8.8235	7	20.5882	7	20.5882	139592	139592	100.0000	165998	132886	80.0528	0.9986
UMB11_06	UMB11_07	Esch_coli_1190	NZ_CP023386.1	4900891	718395	14.6585	718228	99.9768	717916	99.9566	718083	99.9566	683	0.0951	371	54.3192	204	29.8682	318	46.5593	310	45.3880	157	22.9868	151	22.1083	165099	158136	95.7825	171056	148033	86.5407	0.9898
UMB11_06	UMB11_08	Esch_coli_1190	NZ_CP023386.1	4900891	199668	4.0741	199626	99.9790	199556	99.9649	199598	99.9649	162	0.0811	92	56.7901	51	31.4815	92	56.7901	91	56.1728	19	11.7284	18	11.1111	165099	151355	91.6753	158445	158445	100.0000	0.9951
UMB11_06	UMB11_11	Esch_coli_1190	NZ_CP023386.1	4900891	1059446	21.6174	1059249	99.9814	1058911	99.9681	1059108	99.9681	800	0.0755	462	57.7500	269	33.6250	466	58.2500	451	56.3750	60	7.5000	50	6.2500	165099	158136	95.7825	165998	154893	93.3102	0.9964
UMB11_07	UMB11_08	Esch_coli_1190	NZ_CP023386.1	4900891	235328	4.8017	235291	99.9843	235271	99.9915	235308	99.9915	116	0.0493	96	82.7586	60	51.7241	44	37.9310	43	37.0690	9	7.7586	6	5.1724	171056	131119	76.6527	158445	146928	92.7312	0.9909
UMB11_07	UMB11_11	Esch_coli_1190	NZ_CP023386.1	4900891	1284089	26.2011	1283913	99.9863	1283763	99.9883	1283939	99.9883	667	0.0519	517	77.5112	347	52.0240	258	38.6807	254	38.0810	33	4.9475	26	3.8981	171056	154895	90.5522	165998	160523	96.7018	0.9900
UMB11_08	UMB11_11	Esch_coli_1190	NZ_CP023386.1	4900891	358765	7.3204	358752	99.9964	358744	99.9978	358757	99.9978	136	0.0379	128	94.1176	116	85.2941	10	7.3529	9	6.6176	6	4.4118	5	3.6765	158445	146928	92.7312	165998	139943	84.3040	0.9945
