sample	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
13.0	NZ_LR536430.1	4975029	0.049	666	0.006	0	5842	0.117	5706	97.672	136	2.328	0	0.000	41715	0.838	948	0.019	1	111264
13.0	NZ_CP023386.1	4900891	0.032	473	0.003	0	3244	0.066	3156	97.287	88	2.713	0	0.000	25958	0.530	892	0.018	0	0
8.0	NZ_CP010167.1	4630919	0.536	6324	0.058	0	148439	3.205	147535	99.391	904	0.609	2	0.001	469206	10.132	10992	0.237	14	297002
8.0	NZ_CP016007.1	5026105	0.205	1086	0.014	0	25932	0.516	25627	98.824	305	1.176	5	0.019	232119	4.618	7070	0.141	16	679197
8.0	NC_017652.1	5038386	0.203	1067	0.013	0	24242	0.481	23806	98.201	436	1.800	18	0.074	231279	4.590	7467	0.148	20	819011
8.0	NZ_LR536430.1	4975029	0.700	14686	0.132	0	378975	7.618	377743	99.675	1232	0.325	48	0.013	495996	9.970	17165	0.345	17	347002
8.0	NZ_CP023386.1	4900891	1.591	59112	0.347	1	1894740	38.661	1893628	99.941	1111	0.059	183	0.010	323110	6.593	3384	0.069	12	171056
12.0	NZ_CP010167.1	4630919	0.372	2697	0.018	0	51415	1.110	50869	98.938	546	1.062	5	0.010	367548	7.937	9046	0.195	11	250918
12.0	NZ_CP016007.1	5026105	0.273	1688	0.015	0	38141	0.759	37590	98.555	551	1.445	12	0.031	309322	6.154	7663	0.152	21	804095
12.0	NC_017652.1	5038386	0.269	1291	0.012	0	31132	0.618	30647	98.442	485	1.558	9	0.029	310044	6.154	6564	0.130	21	811748
12.0	NZ_LR536430.1	4975029	0.331	1808	0.012	0	40409	0.812	39891	98.718	518	1.282	1	0.002	369390	7.425	10442	0.210	25	742039
12.0	NZ_CP023386.1	4900891	2.492	106232	0.449	2	2819899	57.538	2818902	99.965	996	0.035	114	0.004	435239	8.881	488	0.010	9	165998
6.0	NZ_CP010167.1	4630919	0.002	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	2114	0.046	113	0.002	0	0
6.0	NZ_CP016007.1	5026105	0.002	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	1596	0.032	29	0.001	0	0
6.0	NC_017652.1	5038386	0.002	2	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	1911	0.038	145	0.003	0	0
6.0	NZ_LR536430.1	4975029	0.002	2	0.000	0	80	0.002	74	92.500	6	7.500	0	0.000	1646	0.033	107	0.002	0	0
6.0	NZ_CP023386.1	4900891	0.002	6	0.001	0	130	0.003	120	92.308	10	7.692	0	0.000	1855	0.038	55	0.001	0	0
4.1	NZ_CP010167.1	4630919	0.546	70244	0.299	0	7023	0.152	6703	95.444	320	4.558	2	0.028	1654840	35.735	1326239	28.639	6	123494
4.1	NZ_CP016007.1	5026105	0.429	68763	0.399	0	7054	0.140	6770	95.974	284	4.026	0	0.000	1451518	28.880	1156665	23.013	20	544930
4.1	NC_017652.1	5038386	0.438	47830	0.279	0	9338	0.185	8851	94.785	487	5.219	6	0.064	1468097	29.138	1155243	22.929	21	550226
4.1	NZ_LR536430.1	4975029	0.494	63322	0.263	0	6214	0.125	5975	96.154	239	3.848	3	0.048	1654976	33.266	1312831	26.388	15	444760
4.1	NZ_CP023386.1	4900891	41.578	4193045	11.425	43	4103343	83.726	4099819	99.914	3521	0.086	497	0.012	1098524	22.415	475706	9.707	7	156595
5.1	NZ_CP010167.1	4630919	0.045	232	0.001	0	2738	0.059	2704	98.758	34	1.242	0	0.000	31255	0.675	121	0.003	1	144878
5.1	NZ_CP016007.1	5026105	0.033	170	0.001	0	1986	0.040	1957	98.540	29	1.460	0	0.000	25811	0.514	69	0.001	1	175222
5.1	NC_017652.1	5038386	0.033	138	0.001	0	2368	0.047	2319	97.931	49	2.069	0	0.000	25354	0.503	90	0.002	0	0
5.1	NZ_LR536430.1	4975029	0.039	149	0.001	0	1231	0.025	1217	98.863	14	1.137	0	0.000	29723	0.597	76	0.002	2	331642
5.1	NZ_CP023386.1	4900891	0.274	11545	0.048	0	170105	3.471	170062	99.975	43	0.025	0	0.000	47688	0.973	372	0.008	4	139592
4.1	NZ_CP010167.1	4630919	0.086	437	0.008	0	8026	0.173	7920	98.679	106	1.321	0	0.000	68970	1.489	9	0.000	3	238519
4.1	NZ_CP016007.1	5026105	0.066	356	0.009	0	6495	0.129	6396	98.476	99	1.524	0	0.000	56187	1.118	21	0.000	5	595621
4.1	NC_017652.1	5038386	0.065	283	0.007	0	4539	0.090	4478	98.656	61	1.344	0	0.000	56964	1.131	21	0.000	5	620059
4.1	NZ_LR536430.1	4975029	0.080	386	0.007	0	6924	0.139	6838	98.758	86	1.242	0	0.000	71065	1.428	9	0.000	5	469483
4.1	NZ_CP023386.1	4900891	0.596	24708	0.278	0	547015	11.162	546816	99.964	199	0.036	3	0.001	99001	2.020	114	0.002	7	172806
7.0	NZ_CP010167.1	4630919	47.519	1331869	7.902	48	3863102	83.420	3861892	99.969	1210	0.031	159	0.004	1439048	31.075	84996	1.835	9	120001
7.0	NZ_CP016007.1	5026105	0.337	4322	0.035	0	24135	0.480	23614	97.841	521	2.160	12	0.050	921728	18.339	624306	12.421	20	585332
7.0	NC_017652.1	5038386	0.336	10341	0.084	0	21522	0.427	21016	97.649	506	2.351	3	0.014	920367	18.267	640948	12.721	14	470300
7.0	NZ_LR536430.1	4975029	1.572	25494	0.148	2	52938	1.064	52054	98.330	884	1.670	16	0.030	2398716	48.215	1718399	34.540	25	496343
7.0	NZ_CP023386.1	4900891	1.963	69465	0.264	2	1515111	30.915	1513886	99.919	1225	0.081	222	0.015	1161951	23.709	699045	14.264	9	165099
1.0	NZ_CP010167.1	4630919	0.003	69	0.804	0	31	0.001	31	100.000	0	0.000	0	0.000	13	0.000	0	0.000	0	0
1.0	NZ_CP016007.1	5026105	0.001	4	0.064	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
1.0	NC_017652.1	5038386	0.001	4	0.064	0	9	0.000	9	100.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
1.0	NZ_LR536430.1	4975029	0.002	14	0.160	0	0	0.000	0	0.000	0	0.000	0	0.000	41	0.001	0	0.000	0	0
1.0	NZ_CP023386.1	4900891	0.001	9	0.067	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
1.0	NZ_CP010167.1	4630919	0.002	9	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	614	0.013	0	0.000	0	0
1.0	NZ_CP016007.1	5026105	0.008	89	0.005	0	38	0.001	38	100.000	0	0.000	0	0.000	2155	0.043	52	0.001	0	0
1.0	NC_017652.1	5038386	0.009	187	0.010	0	59	0.001	59	100.000	0	0.000	0	0.000	2154	0.043	58	0.001	0	0
1.0	NZ_LR536430.1	4975029	0.003	24	0.001	0	4	0.000	4	100.000	0	0.000	0	0.000	616	0.012	0	0.000	0	0
1.0	NZ_CP023386.1	4900891	0.003	27	0.001	0	0	0.000	0	0.000	0	0.000	0	0.000	855	0.017	0	0.000	0	0
4.1	NZ_CP010167.1	4630919	0.556	6976	0.029	0	46538	1.005	45908	98.646	630	1.354	0	0.000	785610	16.964	266124	5.747	21	374249
4.1	NZ_CP016007.1	5026105	0.438	5953	0.034	0	42588	0.847	41919	98.429	669	1.571	13	0.031	670256	13.335	222340	4.424	30	802610
4.1	NC_017652.1	5038386	0.436	4358	0.025	0	30439	0.604	29885	98.180	554	1.821	19	0.062	678820	13.473	222410	4.414	28	719547
4.1	NZ_LR536430.1	4975029	0.507	5960	0.024	0	38171	0.767	37692	98.745	479	1.255	1	0.003	783057	15.740	261475	5.256	26	669263
4.1	NZ_CP023386.1	4900891	4.005	382635	1.029	3	3189092	65.072	3187701	99.956	1390	0.044	174	0.005	916186	18.694	93932	1.917	7	157365
4.1	NZ_CP010167.1	4630919	0.008	66	0.000	0	30	0.001	30	100.000	0	0.000	0	0.000	7463	0.161	220	0.005	0	0
4.1	NZ_CP016007.1	5026105	0.008	51	0.000	0	7	0.000	7	100.000	0	0.000	0	0.000	5982	0.119	233	0.005	1	701957
4.1	NC_017652.1	5038386	0.010	191	0.001	0	150	0.003	150	100.000	0	0.000	0	0.000	5594	0.111	128	0.003	0	0
4.1	NZ_LR536430.1	4975029	0.007	41	0.000	0	31	0.001	31	100.000	0	0.000	0	0.000	8158	0.164	233	0.005	0	0
4.1	NZ_CP023386.1	4900891	0.023	1829	0.005	0	2894	0.059	2894	100.000	0	0.000	0	0.000	10936	0.223	246	0.005	0	0
4.1	NZ_CP010167.1	4630919	0.547	65449	0.381	0	7461	0.161	7153	95.872	308	4.128	0	0.000	1636901	35.347	1303468	28.147	5	111671
4.1	NZ_CP016007.1	5026105	0.431	64488	0.513	0	7408	0.147	7086	95.653	322	4.350	5	0.067	1432218	28.496	1136705	22.616	21	581747
4.1	NC_017652.1	5038386	0.438	41760	0.334	0	8922	0.177	8501	95.281	421	4.722	7	0.078	1450576	28.790	1136787	22.563	21	574004
4.1	NZ_LR536430.1	4975029	0.498	59213	0.337	0	5943	0.119	5700	95.911	243	4.089	0	0.000	1631443	32.793	1284758	25.824	16	475496
4.1	NZ_CP023386.1	4900891	42.449	3905860	14.569	44	4120751	84.082	4117201	99.914	3546	0.086	465	0.011	1053565	21.497	455918	9.303	7	156422
2.0	NZ_CP010167.1	4630919	0.247	18	0.000	0	281	0.006	275	97.865	6	2.135	0	0.000	308810	6.668	21045	0.454	13	447553
2.0	NZ_CP016007.1	5026105	3.549	85824	0.823	3	2506998	49.880	2506921	99.997	77	0.003	70	0.003	1668501	33.197	3681	0.073	1	16868
2.0	NC_017652.1	5038386	1.341	210	0.002	0	5022	0.100	5018	99.920	4	0.080	0	0.000	1792289	35.573	196601	3.902	30	575694
2.0	NZ_LR536430.1	4975029	0.224	49	0.000	0	548	0.011	548	100.000	0	0.000	0	0.000	298901	6.008	18373	0.369	16	767577
2.0	NZ_CP023386.1	4900891	0.260	24	0.000	0	351	0.007	334	95.157	17	4.843	0	0.000	342936	6.997	24117	0.492	25	848801
4.0	NZ_CP010167.1	4630919	0.121	572	0.004	0	10909	0.236	10785	98.863	124	1.137	0	0.000	111645	2.411	74	0.002	6	304429
4.0	NZ_CP016007.1	5026105	0.093	507	0.004	0	10702	0.213	10565	98.720	137	1.280	0	0.000	91094	1.812	211	0.004	5	501624
4.0	NC_017652.1	5038386	0.090	349	0.003	0	7242	0.144	7125	98.384	117	1.616	0	0.000	89480	1.776	95	0.002	8	702379
4.0	NZ_LR536430.1	4975029	0.109	472	0.003	0	9429	0.190	9345	99.109	84	0.891	0	0.000	109477	2.201	103	0.002	9	586220
4.0	NZ_CP023386.1	4900891	0.822	35131	0.143	1	859998	17.548	859671	99.962	327	0.038	8	0.001	160054	3.266	26	0.001	9	185085
5.0	NZ_CP010167.1	4630919	0.007	37	0.000	0	249	0.005	245	98.394	4	1.606	0	0.000	4237	0.091	0	0.000	2	1824091
5.0	NZ_CP016007.1	5026105	0.006	27	0.000	0	42	0.001	39	92.857	3	7.143	0	0.000	3948	0.079	71	0.001	1	871423
5.0	NC_017652.1	5038386	0.006	17	0.000	0	107	0.002	100	93.458	7	6.542	0	0.000	3107	0.062	0	0.000	1	1159973
5.0	NZ_LR536430.1	4975029	0.009	134	0.002	0	949	0.019	940	99.052	9	0.948	0	0.000	4859	0.098	0	0.000	1	572384
5.0	NZ_CP023386.1	4900891	0.024	887	0.007	0	5131	0.105	5092	99.240	39	0.760	0	0.000	5662	0.116	0	0.000	0	0
