sample	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
UMB11_03	NC_017652.1	5038386	0.092	349	0.003	0	8888	0.176	8685	97.716	203	2.284	0	0.000	89427	1.775	210	0.004	45	1850571
UMB11_03	NZ_LR536430.1	4975029	0.111	472	0.003	0	11363	0.228	11221	98.750	141	1.241	4	0.035	109455	2.200	103	0.002	63	2019700
UMB11_03	NZ_CP023386.1	4900891	0.856	35131	0.143	1	914085	18.651	913684	99.956	401	0.044	33	0.004	159746	3.260	64	0.001	18	225752
UMB11_04.1	NZ_CP010167.1	4630919	0.045	232	0.001	0	3210	0.069	3170	98.754	40	1.246	0	0.000	31255	0.675	121	0.003	20	1395147
UMB11_04.1	NZ_CP016007.1	5026105	0.034	170	0.001	0	2856	0.057	2783	97.444	73	2.556	0	0.000	25779	0.513	196	0.004	18	1473871
UMB11_04.1	NC_017652.1	5038386	0.034	138	0.001	0	2989	0.059	2886	96.554	103	3.447	1	0.033	25287	0.502	224	0.004	18	1434590
UMB11_04.1	NZ_LR536430.1	4975029	0.041	149	0.001	0	2550	0.051	2486	97.490	64	2.514	4	0.157	29723	0.597	87	0.002	18	1288818
UMB11_04.1	NZ_CP023386.1	4900891	0.284	11545	0.048	0	181596	3.705	181531	99.964	65	0.036	1	0.001	47654	0.972	410	0.008	14	258087
UMB11_04	NZ_CP010167.1	4630919	0.009	37	0.000	0	968	0.021	909	93.905	59	6.095	0	0.000	4237	0.091	0	0.000	5	1486469
UMB11_04	NZ_CP016007.1	5026105	0.007	27	0.000	0	507	0.010	472	93.097	35	6.903	0	0.000	3948	0.079	71	0.001	1	295479
UMB11_04	NC_017652.1	5038386	0.007	17	0.000	0	400	0.008	373	93.250	27	6.750	0	0.000	3107	0.062	0	0.000	1	901341
UMB11_04	NZ_LR536430.1	4975029	0.011	134	0.002	0	1885	0.038	1817	96.393	68	3.607	0	0.000	4859	0.098	0	0.000	5	1037302
UMB11_04	NZ_CP023386.1	4900891	0.027	887	0.007	0	6248	0.127	6175	98.832	73	1.169	3	0.048	5662	0.116	0	0.000	0	0
UMB11_05	NZ_CP010167.1	4630919	0.002	0	0.000	0	352	0.008	330	93.750	22	6.250	0	0.000	2114	0.046	113	0.002	2	2204008
UMB11_05	NZ_CP016007.1	5026105	0.002	0	0.000	0	384	0.008	358	93.229	26	6.771	0	0.000	1596	0.032	29	0.001	1	1431739
UMB11_05	NC_017652.1	5038386	0.002	2	0.000	0	420	0.008	389	92.619	31	7.381	0	0.000	1911	0.038	275	0.005	1	1964226
UMB11_05	NZ_LR536430.1	4975029	0.002	2	0.000	0	605	0.012	556	91.901	49	8.099	0	0.000	1646	0.033	147	0.003	0	0
UMB11_05	NZ_CP023386.1	4900891	0.002	6	0.001	0	702	0.014	649	92.450	52	7.569	15	2.137	1855	0.038	75	0.002	1	858980
UMB11_06	NZ_CP010167.1	4630919	47.896	1331869	7.902	49	3873168	83.637	3871687	99.962	1481	0.038	194	0.005	1434564	30.978	77308	1.669	18	143338
UMB11_06	NZ_CP016007.1	5026105	0.340	4322	0.035	0	28206	0.561	27490	97.462	716	2.540	20	0.071	920578	18.316	626949	12.474	72	1092267
UMB11_06	NC_017652.1	5038386	0.339	10341	0.084	0	24530	0.487	23828	97.138	700	2.856	20	0.082	918015	18.220	645477	12.811	82	1076841
UMB11_06	NZ_LR536430.1	4975029	1.577	25494	0.148	2	56076	1.127	55013	98.104	1062	1.896	70	0.125	2397435	48.189	1722757	34.628	113	783239
UMB11_06	NZ_CP023386.1	4900891	1.979	69465	0.264	2	1534118	31.303	1532507	99.895	1610	0.105	341	0.022	1158839	23.645	706760	14.421	21	184319
UMB11_07	NZ_CP010167.1	4630919	0.547	6324	0.058	0	162091	3.500	160934	99.286	1157	0.714	20	0.012	468563	10.118	11132	0.240	94	813619
UMB11_07	NZ_CP016007.1	5026105	0.209	1086	0.014	0	31737	0.631	31210	98.339	527	1.661	5	0.016	232068	4.617	7346	0.146	94	1846161
UMB11_07	NC_017652.1	5038386	0.209	1067	0.013	0	32030	0.636	31330	97.815	700	2.189	55	0.172	231030	4.585	8059	0.160	88	1823618
UMB11_07	NZ_LR536430.1	4975029	0.719	14686	0.132	0	406231	8.165	404496	99.573	1732	0.426	105	0.026	495135	9.952	18082	0.363	84	675098
UMB11_07	NZ_CP023386.1	4900891	1.637	59112	0.347	1	1957391	39.939	1955958	99.927	1431	0.073	331	0.017	320345	6.536	3730	0.076	28	226973
UMB11_08	NZ_CP010167.1	4630919	0.103	552	0.004	0	13246	0.286	12844	96.965	402	3.035	0	0.000	82156	1.774	0	0.000	37	1190830
UMB11_08	NZ_CP016007.1	5026105	0.081	421	0.004	0	9478	0.189	9181	96.866	297	3.134	0	0.000	68951	1.372	30	0.001	32	1433570
UMB11_08	NC_017652.1	5038386	0.080	295	0.003	0	6965	0.138	6723	96.525	242	3.477	4	0.057	70702	1.403	152	0.003	28	1208518
UMB11_08	NZ_LR536430.1	4975029	0.097	513	0.004	0	12121	0.244	11762	97.038	359	2.962	1	0.008	83871	1.686	105	0.002	38	1369380
UMB11_08	NZ_CP023386.1	4900891	0.616	24145	0.118	0	558369	11.393	557700	99.880	669	0.120	54	0.010	115378	2.354	75	0.002	14	214618
UMB11_11	NZ_CP010167.1	4630919	0.378	2697	0.018	0	56539	1.221	55880	98.834	659	1.166	3	0.005	366872	7.922	9323	0.201	128	1327343
UMB11_11	NZ_CP016007.1	5026105	0.279	1688	0.015	0	45289	0.901	44493	98.242	796	1.758	13	0.029	308965	6.147	8204	0.163	129	2099576
UMB11_11	NC_017652.1	5038386	0.274	1291	0.012	0	37730	0.749	36914	97.837	816	2.164	20	0.053	309908	6.151	6993	0.139	125	2060261
UMB11_11	NZ_LR536430.1	4975029	0.336	1808	0.012	0	45774	0.920	45067	98.455	707	1.545	8	0.017	368658	7.410	10810	0.217	142	1890487
UMB11_11	NZ_CP023386.1	4900891	2.594	106232	0.449	2	2919853	59.578	2918585	99.957	1267	0.043	177	0.006	428305	8.739	566	0.012	17	194964
UMB11_12	NZ_CP010167.1	4630919	0.058	556	0.005	0	9496	0.205	9055	95.356	441	4.648	8	0.084	36126	0.780	1299	0.028	8	368540
UMB11_12	NZ_CP016007.1	5026105	0.034	162	0.002	0	3382	0.067	3106	91.839	276	8.178	7	0.207	27145	0.540	1015	0.020	10	770971
UMB11_12	NC_017652.1	5038386	0.035	172	0.002	0	4830	0.096	4440	91.925	390	8.085	6	0.124	28376	0.563	1655	0.033	9	771872
UMB11_12	NZ_LR536430.1	4975029	0.061	666	0.006	0	12878	0.259	12228	94.953	650	5.050	7	0.054	41668	0.838	1283	0.026	18	859442
UMB11_12	NZ_CP023386.1	4900891	0.050	473	0.003	0	12330	0.252	11439	92.774	890	7.226	14	0.114	25911	0.529	1333	0.027	9	466782
