sample	ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
LS_1_26_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.087	1164	0.004	0	6236	0.123	6212	99.615	24	0.385	2	0.032	37550	0.742	2413	0.048	1	72473
LS_1_26_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	0.103	1924	0.006	0	12424	0.239	12365	99.525	59	0.475	1	0.008	34505	0.663	2547	0.049	2	113493
LS_1_26_2013	Esch_coli_D5	NZ_CP010145.1	4817460	0.113	1205	0.007	0	7671	0.159	7660	99.857	11	0.143	0	0.000	42295	0.878	1405	0.029	1	51539
LS_1_26_2013	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.090	497	0.003	0	3813	0.078	3800	99.659	13	0.341	0	0.000	37697	0.775	1195	0.025	7	484105
LS_1_26_2013	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.030	433	0.001	0	4099	0.081	3787	92.388	311	7.591	2	0.049	17600	0.347	2129	0.042	4	908997
LS_1_26_2013	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.051	875	0.002	0	4109	0.083	3953	96.203	156	3.797	0	0.000	19447	0.393	1417	0.029	2	217749
LS_1_26_2013	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.145	1847	0.009	0	18814	0.407	18731	99.559	83	0.441	0	0.000	49367	1.067	1484	0.032	4	180536
LS_1_26_2013	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.034	485	0.001	0	2391	0.050	2208	92.346	183	7.657	1	0.042	18171	0.378	1586	0.033	0	0
LS_1_26_2013	Esch_coli_Santai	NZ_CP007592.1	5104557	0.056	825	0.002	0	4474	0.088	4379	97.877	95	2.123	0	0.000	30327	0.594	4939	0.097	3	344856
LS_1_26_2013	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.126	1224	0.006	0	11818	0.257	11722	99.188	96	0.812	0	0.000	48938	1.065	1645	0.036	2	104737
LS_2_8_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.826	16765	0.105	1	351548	6.948	348838	99.229	2710	0.771	197	0.056	522066	10.318	8747	0.173	1	31599
LS_2_8_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	0.617	10033	0.064	0	145756	2.800	143468	98.430	2288	1.570	58	0.040	518134	9.953	17723	0.340	16	310258
LS_2_8_2013	Esch_coli_D5	NZ_CP010145.1	4817460	0.251	2140	0.026	0	17569	0.365	16573	94.331	996	5.675	19	0.108	224175	4.653	12739	0.264	14	417641
LS_2_8_2013	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.221	1991	0.021	0	15647	0.322	14396	92.005	1251	8.001	11	0.070	212995	4.379	13090	0.269	19	632303
LS_2_8_2013	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.198	3006	0.014	0	28028	0.552	25586	91.287	2442	8.713	0	0.000	198271	3.907	14621	0.288	19	836253
LS_2_8_2013	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.272	5275	0.023	0	46291	0.936	43396	93.746	2895	6.255	9	0.019	211163	4.269	14311	0.289	11	358040
LS_2_8_2013	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.251	3359	0.034	0	22738	0.492	21354	93.913	1384	6.089	7	0.031	209795	4.535	17905	0.387	8	260745
LS_2_8_2013	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.216	3627	0.017	0	36407	0.757	33131	91.002	3275	8.996	2	0.005	196520	4.088	14957	0.311	12	551131
LS_2_8_2013	Esch_coli_Santai	NZ_CP007592.1	5104557	0.202	3975	0.018	0	32743	0.641	29774	90.932	2969	9.068	0	0.000	195569	3.831	16731	0.328	22	827125
LS_2_8_2013	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.259	2542	0.026	0	21936	0.477	20630	94.046	1306	5.954	0	0.000	212671	4.628	10411	0.227	13	383988
LS_2_25_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	1.398	34733	0.237	1	1126703	22.267	1126656	99.996	47	0.004	13	0.001	732483	14.476	157	0.003	1	29062
LS_2_25_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	0.641	5534	0.038	0	75748	1.455	75636	99.852	112	0.148	0	0.000	698130	13.411	1786	0.034	16	367230
LS_2_25_2013	Esch_coli_D5	NZ_CP010145.1	4817460	0.084	856	0.011	0	4407	0.091	4327	98.185	80	1.815	0	0.000	40186	0.834	199	0.004	2	128126
LS_2_25_2013	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.058	312	0.004	0	4245	0.087	4188	98.657	57	1.343	0	0.000	24905	0.512	79	0.002	7	798493
LS_2_25_2013	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.056	355	0.002	0	5194	0.102	5062	97.459	132	2.541	0	0.000	44517	0.877	200	0.004	10	1249448
LS_2_25_2013	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.105	819	0.004	0	8042	0.163	7940	98.732	102	1.268	1	0.012	76314	1.543	134	0.003	4	242922
LS_2_25_2013	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.065	928	0.010	0	26694	0.577	26286	98.472	407	1.527	44	0.165	25150	0.544	335	0.007	14	1567949
LS_2_25_2013	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.057	288	0.001	0	1771	0.037	1635	92.321	136	7.679	0	0.000	47863	0.996	519	0.011	8	1123514
LS_2_25_2013	Esch_coli_Santai	NZ_CP007592.1	5104557	0.046	329	0.002	0	3397	0.067	3215	94.642	182	5.358	0	0.000	29363	0.575	2825	0.055	5	830505
LS_2_25_2013	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.041	104	0.001	0	294	0.006	288	97.959	6	2.041	0	0.000	22853	0.497	390	0.008	4	658953
LS_3_24_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.475	10543	0.052	0	192526	3.805	192341	99.904	185	0.096	14	0.007	226247	4.471	15458	0.306	2	46645
LS_3_24_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	0.314	4689	0.023	0	49963	0.960	49698	99.470	265	0.530	0	0.000	224007	4.303	14236	0.273	10	307788
LS_3_24_2013	Esch_coli_D5	NZ_CP010145.1	4817460	0.077	846	0.008	0	3808	0.079	3610	94.800	198	5.200	0	0.000	62654	1.301	10536	0.219	3	257059
LS_3_24_2013	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.062	977	0.008	0	2413	0.050	2222	92.085	191	7.915	0	0.000	60597	1.246	9596	0.197	9	1209620
LS_3_24_2013	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.063	1246	0.005	0	4933	0.097	4507	91.364	426	8.636	0	0.000	63292	1.247	14846	0.293	6	668488
LS_3_24_2013	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.093	2394	0.008	0	10370	0.210	10072	97.126	298	2.874	0	0.000	65293	1.320	14376	0.291	4	273147
LS_3_24_2013	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.055	380	0.003	0	759	0.016	695	91.568	64	8.432	0	0.000	50216	1.086	6702	0.145	6	754405
LS_3_24_2013	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.069	1040	0.004	0	3361	0.070	3147	93.633	214	6.367	0	0.000	56394	1.173	7975	0.166	2	168387
LS_3_24_2013	Esch_coli_Santai	NZ_CP007592.1	5104557	0.056	972	0.003	0	3153	0.062	2812	89.185	341	10.819	1	0.032	64041	1.255	12548	0.246	10	1476131
LS_3_24_2013	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.057	381	0.003	0	1163	0.025	1060	91.144	103	8.856	0	0.000	54320	1.182	7514	0.164	7	806413
LS_4_7_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	2.503	48583	0.351	2	1598972	31.601	1598737	99.985	235	0.015	285	0.018	1524719	30.133	3169	0.063	1	31008
LS_4_7_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	2.594	54633	0.401	2	1759202	33.794	1758791	99.977	411	0.023	44	0.003	1540552	29.594	4533	0.087	22	313407
LS_4_7_2013	Esch_coli_D5	NZ_CP010145.1	4817460	0.141	1246	0.018	0	15684	0.326	15485	98.731	199	1.269	0	0.000	101512	2.107	646	0.013	9	407432
LS_4_7_2013	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.118	940	0.011	0	21409	0.440	20932	97.772	477	2.229	10	0.047	82196	1.690	1516	0.031	15	1194632
LS_4_7_2013	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.118	954	0.005	0	18003	0.355	17620	97.873	383	2.128	4	0.022	108544	2.139	3985	0.079	19	1397931
LS_4_7_2013	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.263	2529	0.013	0	36489	0.738	36130	99.016	359	0.984	2	0.005	240390	4.860	7400	0.150	12	366658
LS_4_7_2013	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.097	430	0.005	0	8844	0.191	8680	98.146	164	1.854	0	0.000	74464	1.610	918	0.020	11	820658
LS_4_7_2013	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.117	682	0.004	0	11188	0.233	10961	97.971	227	2.029	0	0.000	110701	2.303	3068	0.064	17	1089948
LS_4_7_2013	Esch_coli_Santai	NZ_CP007592.1	5104557	0.116	974	0.005	0	20273	0.397	19755	97.445	518	2.555	1	0.005	96092	1.882	2384	0.047	17	1154497
LS_4_7_2013	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.093	451	0.005	0	7674	0.167	7480	97.472	194	2.528	0	0.000	68509	1.491	1642	0.036	6	532947
LS_4_29_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.233	3282	0.017	0	32805	0.648	32652	99.534	153	0.466	0	0.000	142856	2.823	10916	0.216	4	129898
LS_4_29_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	0.356	8255	0.044	0	137595	2.643	137395	99.855	200	0.145	0	0.000	153839	2.955	8688	0.167	14	416785
LS_4_29_2013	Esch_coli_D5	NZ_CP010145.1	4817460	0.074	885	0.009	0	4538	0.094	4385	96.628	153	3.372	0	0.000	47582	0.988	5430	0.113	1	92107
LS_4_29_2013	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.057	717	0.006	0	2846	0.059	2687	94.413	159	5.587	0	0.000	45620	0.938	5125	0.105	11	1353043
LS_4_29_2013	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.048	830	0.003	0	4632	0.091	4230	91.321	402	8.679	0	0.000	46771	0.922	9229	0.182	11	1532913
LS_4_29_2013	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.058	1295	0.005	0	5811	0.117	5608	96.507	203	3.494	1	0.017	47403	0.958	9010	0.182	4	451103
LS_4_29_2013	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.045	277	0.002	0	1053	0.023	997	94.682	56	5.318	0	0.000	37582	0.812	3763	0.081	6	877847
LS_4_29_2013	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.054	1005	0.004	0	3066	0.064	2880	93.933	186	6.067	0	0.000	37564	0.781	4941	0.103	0	0
LS_4_29_2013	Esch_coli_Santai	NZ_CP007592.1	5104557	0.048	791	0.003	0	4018	0.079	3724	92.683	294	7.317	0	0.000	47431	0.929	6368	0.125	11	1627971
LS_4_29_2013	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.046	281	0.002	0	1340	0.029	1249	93.209	91	6.791	0	0.000	37217	0.810	4309	0.094	9	1466715
LS_6_9_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.509	16336	0.049	0	33826	0.669	33759	99.802	67	0.198	3	0.009	772512	15.267	372412	7.360	7	120612
LS_6_9_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	0.461	70186	0.212	0	5295	0.102	5199	98.187	96	1.814	2	0.038	873934	16.788	515032	9.894	14	312670
LS_6_9_2013	Esch_coli_D5	NZ_CP010145.1	4817460	72.332	1458559	8.443	79	2343644	48.649	2341747	99.919	1889	0.081	291	0.012	2755654	57.201	438323	9.099	10	103057
LS_6_9_2013	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	13.698	33053	0.163	21	52358	1.077	51695	98.734	663	1.267	27	0.052	3338980	68.652	1346232	27.680	23	381445
LS_6_9_2013	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.332	19857	0.045	0	13430	0.265	13274	98.838	156	1.162	0	0.000	547269	10.784	273431	5.388	18	492328
LS_6_9_2013	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.383	21290	0.044	0	7966	0.161	7858	98.644	107	1.345	8	0.100	675769	13.663	345099	6.977	18	424482
LS_6_9_2013	Esch_coli_NCTC122	NZ_LT906474.1	4625968	1.390	10393	0.049	1	9068	0.196	8966	98.875	102	1.125	1	0.011	2141804	46.300	1326145	28.667	21	311297
LS_6_9_2013	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.523	39358	0.088	0	119611	2.488	119451	99.866	160	0.134	1	0.001	534275	11.115	275971	5.741	3	58203
LS_6_9_2013	Esch_coli_Santai	NZ_CP007592.1	5104557	0.700	17153	0.037	0	7698	0.151	7611	98.870	87	1.130	0	0.000	1790050	35.068	1225882	24.015	32	643574
LS_6_9_2013	Esch_coli_AR_0061	NZ_CP020058.1	4595238	1.442	10933	0.053	1	6017	0.131	5944	98.787	73	1.213	0	0.000	2209637	48.085	1389360	30.235	18	240620
LS_7_14_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.393	13574	0.023	0	4438	0.088	4381	98.716	57	1.284	0	0.000	765945	15.138	380255	7.515	19	433517
LS_7_14_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	0.403	72191	0.126	0	5187	0.100	5071	97.764	116	2.236	0	0.000	849430	16.317	521056	10.009	25	662575
LS_7_14_2013	Esch_coli_D5	NZ_CP010145.1	4817460	74.602	1511667	5.048	82	2324166	48.245	2322341	99.921	1816	0.078	273	0.012	2763856	57.372	465541	9.664	12	114720
LS_7_14_2013	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	13.885	33652	0.096	22	54228	1.115	53561	98.770	667	1.230	15	0.028	3347804	68.834	1377451	28.322	22	382505
LS_7_14_2013	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.330	19858	0.026	0	14725	0.290	14548	98.798	177	1.202	0	0.000	555406	10.944	277380	5.466	22	613262
LS_7_14_2013	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.381	21825	0.026	0	8437	0.171	8290	98.258	147	1.743	1	0.012	692936	14.010	354320	7.164	23	545704
LS_7_14_2013	Esch_coli_NCTC122	NZ_LT906474.1	4625968	1.382	10874	0.030	1	6689	0.145	6597	98.625	92	1.375	0	0.000	2157175	46.632	1354220	29.274	18	289669
LS_7_14_2013	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.509	41133	0.053	0	115878	2.411	115740	99.881	137	0.118	3	0.003	533968	11.108	283348	5.895	7	122834
LS_7_14_2013	Esch_coli_Santai	NZ_CP007592.1	5104557	0.700	17663	0.022	0	6522	0.128	6433	98.635	89	1.365	0	0.000	1805100	35.363	1239533	24.283	29	627110
LS_7_14_2013	Esch_coli_AR_0061	NZ_CP020058.1	4595238	1.440	11452	0.032	1	5906	0.129	5830	98.713	76	1.287	0	0.000	2216413	48.233	1407927	30.639	20	249873
LS_8_10_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.629	25972	0.064	0	72696	1.437	72609	99.880	87	0.120	0	0.000	939667	18.571	490905	9.702	2	41891
LS_8_10_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	0.516	113005	0.283	0	9990	0.192	9825	98.348	165	1.652	0	0.000	1030552	19.797	641881	12.330	13	279754
LS_8_10_2013	Esch_coli_D5	NZ_CP010145.1	4817460	112.852	2332926	11.187	126	2272026	47.162	2270072	99.914	1946	0.086	297	0.013	2772018	57.541	566568	11.761	8	78705
LS_8_10_2013	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	18.233	49056	0.201	34	59742	1.228	58997	98.753	745	1.247	21	0.035	3413473	70.184	1584962	32.588	25	370749
LS_8_10_2013	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.506	31452	0.059	0	75145	1.481	74678	99.379	467	0.622	5	0.007	757954	14.936	354421	6.984	21	448051
LS_8_10_2013	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.464	34329	0.059	0	22659	0.458	22444	99.051	214	0.945	10	0.044	839242	16.968	452226	9.143	16	313678
LS_8_10_2013	Esch_coli_NCTC122	NZ_LT906474.1	4625968	1.798	17232	0.068	2	11827	0.256	11707	98.985	120	1.015	3	0.025	2302608	49.776	1457402	31.505	22	285277
LS_8_10_2013	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	1.257	77457	0.143	1	793241	16.502	792663	99.927	578	0.073	9	0.001	726789	15.120	305639	6.358	5	57053
LS_8_10_2013	Esch_coli_Santai	NZ_CP007592.1	5104557	0.702	26481	0.047	0	9629	0.189	9482	98.473	147	1.527	0	0.000	1948837	38.178	1424161	27.900	29	555050
LS_8_10_2013	Esch_coli_AR_0061	NZ_CP020058.1	4595238	1.849	17758	0.072	2	9687	0.211	9560	98.689	127	1.311	0	0.000	2362805	51.419	1516622	33.004	18	209264
LS_9_3_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.402	20284	0.054	0	3870	0.076	3802	98.243	68	1.757	0	0.000	870845	17.211	485285	9.591	21	570660
LS_9_3_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	0.416	109446	0.298	0	5195	0.100	5099	98.152	95	1.829	2	0.038	962376	18.487	639272	12.280	22	598048
LS_9_3_2013	Esch_coli_D5	NZ_CP010145.1	4817460	112.981	2318634	12.108	126	2298255	47.707	2296344	99.917	1904	0.083	290	0.013	2775263	57.608	535994	11.126	10	84709
LS_9_3_2013	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	18.291	52757	0.235	34	62274	1.280	61592	98.905	682	1.095	15	0.024	3417602	70.269	1577563	32.436	23	340750
LS_9_3_2013	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.303	30325	0.062	0	5869	0.116	5768	98.279	101	1.721	0	0.000	610449	12.029	346786	6.834	20	539683
LS_9_3_2013	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.390	33577	0.063	0	7232	0.146	7090	98.037	142	1.964	2	0.028	788659	15.945	456526	9.230	21	443711
LS_9_3_2013	Esch_coli_NCTC122	NZ_LT906474.1	4625968	1.784	16487	0.071	2	10924	0.236	10806	98.920	118	1.080	1	0.009	2301721	49.757	1452774	31.405	20	277431
LS_9_3_2013	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.335	49343	0.099	0	8376	0.174	8281	98.866	95	1.134	1	0.012	593673	12.350	343445	7.145	6	122930
LS_9_3_2013	Esch_coli_Santai	NZ_CP007592.1	5104557	0.698	26325	0.051	0	7744	0.152	7677	99.135	67	0.865	0	0.000	1957174	38.342	1426500	27.946	26	559827
LS_9_3_2013	Esch_coli_AR_0061	NZ_CP020058.1	4595238	1.851	17500	0.077	2	9613	0.209	9475	98.564	138	1.436	0	0.000	2359490	51.346	1510732	32.876	17	215972
LS_9_24_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.500	35917	0.076	0	18656	0.369	17106	91.692	1550	8.312	8	0.043	1084471	21.433	642216	12.692	20	471321
LS_9_24_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	0.513	179355	0.388	0	16596	0.319	15055	90.715	1540	9.282	4	0.024	1192677	22.911	794406	15.260	20	562479
LS_9_24_2013	Esch_coli_D5	NZ_CP010145.1	4817460	176.669	3702306	15.330	200	2223217	46.149	2221254	99.912	1944	0.087	470	0.021	2775642	57.616	646674	13.424	9	98321
