sample	ref	name	length	coverage	uReads	abundance	median	callable	callablePct	confirmed	confirmedPct	snps	snpPct	multi	multiPct	lowmq	lowmqPct	high	highPct	gapCount	gapLength
LS_4_3_2012	Esch_coli_EC-1639	NZ_LR025103.1	31016	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	31016
LS_4_3_2012	Esch_coli_EC-1639	NZ_LR025104.1	21855	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	21855
LS_4_3_2012	Esch_coli_EC-1639	NZ_LR025105.1	63589	0.009	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	250	0.393	0	0.000	0	0
LS_4_3_2012	Esch_coli_118UI	NZ_CP032515.1	5205677	1.253	294761	0.917	1	73492	1.412	71630	97.466	1862	2.534	6	0.008	1934502	37.161	1497929	28.775	18	293430
LS_4_3_2012	Esch_coli_118UI	NZ_CP032517.1	4724	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
LS_4_3_2012	Esch_coli_118UI	NZ_CP032516.1	90328	0.210	1	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	4667	5.167	765	0.847	1	49946
LS_4_3_2012	Esch_coli_D5	NZ_CP010145.1	4817460	5.506	261502	1.559	9	137222	2.848	134545	98.049	2674	1.949	21	0.015	2708408	56.221	1558640	32.354	34	378337
LS_4_3_2012	Esch_coli_D5	NZ_CP010146.1	112874	0.481	137897	0.233	4	660	0.585	629	95.303	31	4.704	1	0.152	4020	3.561	53996	47.837	1	14766
LS_4_3_2012	Esch_coli_D5	NZ_CP010147.1	88754	0.092	308	0.001	0	25	0.028	24	96.000	1	4.000	0	0.000	4335	4.884	3179	3.582	0	0
LS_4_3_2012	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	6.014	361529	1.841	10	180580	3.713	176582	97.786	3991	2.211	95	0.053	2689725	55.303	1605807	33.017	40	433639
LS_4_3_2012	Esch_coli_2011C-3911	NZ_CP015239.1	125977	0.069	917	0.001	0	272	0.216	261	95.956	11	4.044	0	0.000	5786	4.593	4712	3.740	0	0
LS_4_3_2012	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.587	162578	0.377	0	43314	0.854	42295	97.647	1018	2.350	2	0.005	1239368	24.422	992737	19.562	22	418842
LS_4_3_2012	Esch_coli_PA45B	NZ_CP021289.1	147172	0.225	97	0.000	0	2417	1.642	2392	98.966	25	1.034	0	0.000	4870	3.309	718	0.488	0	0
LS_4_3_2012	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.690	324697	0.693	0	51419	1.040	50023	97.285	1396	2.715	3	0.006	1468773	29.696	1419147	28.692	20	304081
LS_4_3_2012	Esch_coli_MSHS_133	NZ_CP041303.1	157660	0.094	29	0.000	0	449	0.285	441	98.218	8	1.782	0	0.000	5246	3.327	2915	1.849	0	0
LS_4_3_2012	Esch_coli_NCTC122	NZ_LT906474.1	4625968	7.628	446668	2.188	13	220166	4.759	216022	98.118	4138	1.880	41	0.019	2595797	56.114	1505322	32.541	32	360624
LS_4_3_2012	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.590	102160	0.234	0	44498	0.926	43484	97.721	1014	2.279	1	0.002	1167927	24.297	911400	18.960	18	281292
LS_4_3_2012	Esch_coli_MVAST0167	NZ_CP014493.1	128305	0.284	213	0.001	0	2011	1.567	2004	99.652	7	0.348	0	0.000	5208	4.059	476	0.371	1	24737
LS_4_3_2012	Esch_coli_MVAST0167	NZ_CP014494.1	78992	0.163	108	0.000	0	2507	3.174	2474	98.684	33	1.316	0	0.000	77	0.097	0	0.000	0	0
LS_4_3_2012	Esch_coli_Santai	NZ_CP007592.1	5104557	39.240	3611738	8.038	80	1229361	24.084	1210773	98.488	18558	1.510	435	0.035	1742279	34.132	1904212	37.304	49	461883
LS_4_3_2012	Esch_coli_AR_0061	NZ_CP020058.1	4595238	7.091	398206	1.995	12	191249	4.162	187465	98.021	3783	1.978	39	0.020	2581827	56.185	1525727	33.202	34	337717
LS_4_3_2012	Esch_coli_AR_0061	NZ_CP020059.1	87982	0.153	10	0.000	0	281	0.319	281	100.000	0	0.000	0	0.000	3634	4.130	1091	1.240	0	0
LS_4_3_2012	Esch_coli_AR_0061	NZ_CP020060.1	50999	0.176	253	0.001	0	0	0.000	0	0.000	0	0.000	0	0.000	2680	5.255	864	1.694	0	0
LS_4_3_2012	TOTAL	-	50385128	6.279	6347402	18.826	2	2387981	4.739	2347800	98.317	40133	1.681	700	0.029	20032731	39.759	14397631	28.575	276	3464939
LS_8_7_2012	Esch_coli_EC-1639	NZ_LR025101.1	5059899	2.748	68981	0.160	4	124068	2.452	123233	99.327	835	0.673	23	0.019	2636452	52.105	1782461	35.227	16	147725
LS_8_7_2012	Esch_coli_EC-1639	NZ_LR025102.1	94720	0.464	392	0.001	0	3417	3.607	3410	99.795	7	0.205	2	0.059	6039	6.376	3912	4.130	0	0
LS_8_7_2012	Esch_coli_EC-1639	NZ_LR025103.1	31016	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	31016
LS_8_7_2012	Esch_coli_EC-1639	NZ_LR025104.1	21855	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	21855
LS_8_7_2012	Esch_coli_EC-1639	NZ_LR025105.1	63589	0.024	12	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
LS_8_7_2012	Esch_coli_118UI	NZ_CP032515.1	5205677	53.246	1547332	3.650	61	2964923	56.956	2963346	99.947	1577	0.053	90	0.003	1817215	34.908	220395	4.234	30	399664
LS_8_7_2012	Esch_coli_118UI	NZ_CP032517.1	4724	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
LS_8_7_2012	Esch_coli_118UI	NZ_CP032516.1	90328	0.162	23	0.000	0	756	0.837	739	97.751	17	2.249	0	0.000	1390	1.539	119	0.132	0	0
LS_8_7_2012	Esch_coli_D5	NZ_CP010145.1	4817460	0.447	9370	0.042	0	14299	0.297	14034	98.147	265	1.853	1	0.007	661136	13.724	256663	5.328	28	584913
LS_8_7_2012	Esch_coli_D5	NZ_CP010146.1	112874	0.105	48	0.000	0	591	0.524	588	99.492	3	0.508	0	0.000	3248	2.878	1569	1.390	0	0
LS_8_7_2012	Esch_coli_D5	NZ_CP010147.1	88754	0.247	58	0.000	0	1643	1.851	1628	99.087	15	0.913	0	0.000	4611	5.195	1160	1.307	1	25102
LS_8_7_2012	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.439	14517	0.056	0	17070	0.351	16748	98.114	322	1.887	3	0.018	659663	13.563	280678	5.771	33	633252
LS_8_7_2012	Esch_coli_2011C-3911	NZ_CP015239.1	125977	0.297	177	0.000	0	4154	3.297	4068	97.930	86	2.072	4	0.096	4689	3.722	351	0.279	1	32580
LS_8_7_2012	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.488	15219	0.027	0	70438	1.388	69811	99.110	627	0.890	7	0.010	662422	13.053	255968	5.044	33	623809
LS_8_7_2012	Esch_coli_PA45B	NZ_CP021289.1	147172	0.703	767	0.001	0	14891	10.118	14751	99.060	140	0.940	2	0.013	8199	5.571	3891	2.644	3	65179
LS_8_7_2012	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	2.314	76630	0.124	2	1440674	29.128	1439485	99.917	1189	0.083	224	0.016	1165981	23.574	462646	9.354	25	379801
LS_8_7_2012	Esch_coli_MSHS_133	NZ_CP041303.1	157660	0.320	194	0.000	0	4892	3.103	4811	98.344	81	1.656	0	0.000	8069	5.118	1563	0.991	2	65495
LS_8_7_2012	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.469	9676	0.036	0	16881	0.365	16596	98.312	285	1.689	3	0.018	632789	13.679	241540	5.221	19	398566
LS_8_7_2012	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.444	12919	0.022	0	41683	0.867	41221	98.892	462	1.108	1	0.002	598862	12.458	231682	4.820	25	559432
LS_8_7_2012	Esch_coli_MVAST0167	NZ_CP014493.1	128305	1.011	912	0.002	0	18441	14.373	18257	99.002	184	0.998	2	0.011	8815	6.870	4107	3.201	3	43503
LS_8_7_2012	Esch_coli_MVAST0167	NZ_CP014494.1	78992	0.376	260	0.000	0	6709	8.493	6585	98.152	124	1.852	13	0.194	638	0.808	166	0.210	1	28827
LS_8_7_2012	Esch_coli_Santai	NZ_CP007592.1	5104557	0.453	19856	0.033	0	25022	0.490	24554	98.130	468	1.870	0	0.000	693304	13.582	317763	6.225	30	681432
LS_8_7_2012	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.463	8205	0.031	0	20012	0.435	19689	98.386	323	1.614	0	0.000	628344	13.674	238516	5.191	29	525029
LS_8_7_2012	Esch_coli_AR_0061	NZ_CP020059.1	87982	0.043	48	0.000	0	23	0.026	23	100.000	0	0.000	0	0.000	4043	4.595	3526	4.008	0	0
LS_8_7_2012	Esch_coli_AR_0061	NZ_CP020060.1	50999	0.090	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	873	1.712	0	0.000	0	0
LS_8_7_2012	TOTAL	-	50385128	6.510	1785596	4.187	0	4790587	9.508	4783577	99.854	7010	0.146	375	0.008	10206782	20.258	4308676	8.551	281	5247180
LS_11_6_2012	Esch_coli_EC-1639	NZ_LR025101.1	5059899	3.616	136764	0.440	8	46405	0.917	45672	98.420	733	1.580	8	0.017	2770492	54.754	1987891	39.287	33	411837
LS_11_6_2012	Esch_coli_EC-1639	NZ_LR025102.1	94720	0.109	231	0.001	0	544	0.574	543	99.816	1	0.184	0	0.000	3829	4.042	3580	3.780	0	0
LS_11_6_2012	Esch_coli_EC-1639	NZ_LR025103.1	31016	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	31016
LS_11_6_2012	Esch_coli_EC-1639	NZ_LR025104.1	21855	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	21855
LS_11_6_2012	Esch_coli_EC-1639	NZ_LR025105.1	63589	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	63589
LS_11_6_2012	Esch_coli_118UI	NZ_CP032515.1	5205677	113.667	3351176	10.941	134	2942794	56.530	2940962	99.938	1832	0.062	78	0.003	1825156	35.061	301981	5.801	26	463211
LS_11_6_2012	Esch_coli_118UI	NZ_CP032517.1	4724	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
LS_11_6_2012	Esch_coli_118UI	NZ_CP032516.1	90328	0.056	2	0.000	0	5	0.006	5	100.000	0	0.000	0	0.000	845	0.935	0	0.000	0	0
LS_11_6_2012	Esch_coli_D5	NZ_CP010145.1	4817460	0.452	20204	0.126	0	5039	0.105	4899	97.222	140	2.778	0	0.000	844082	17.521	462623	9.603	20	454803
LS_11_6_2012	Esch_coli_D5	NZ_CP010146.1	112874	0.070	44	0.000	0	611	0.541	609	99.673	2	0.327	0	0.000	2358	2.089	1485	1.316	0	0
LS_11_6_2012	Esch_coli_D5	NZ_CP010147.1	88754	0.054	13	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	2427	2.735	1473	1.660	0	0
LS_11_6_2012	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.454	30977	0.166	0	8816	0.181	8602	97.573	214	2.427	0	0.000	850599	17.489	485154	9.975	24	511894
LS_11_6_2012	Esch_coli_2011C-3911	NZ_CP015239.1	125977	0.022	13	0.000	0	25	0.020	24	96.000	1	4.000	0	0.000	53	0.042	0	0.000	0	0
LS_11_6_2012	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.350	28560	0.069	0	11989	0.236	11687	97.481	302	2.519	0	0.000	693575	13.667	418774	8.252	23	687694
LS_11_6_2012	Esch_coli_PA45B	NZ_CP021289.1	147172	0.080	46	0.000	0	710	0.482	705	99.296	5	0.704	0	0.000	1169	0.794	0	0.000	0	0
LS_11_6_2012	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.582	68240	0.153	0	22842	0.462	22452	98.293	390	1.707	1	0.004	1286705	26.015	949561	19.198	18	391336
LS_11_6_2012	Esch_coli_MSHS_133	NZ_CP041303.1	157660	0.038	13	0.000	0	7	0.004	7	100.000	0	0.000	0	0.000	2207	1.400	1469	0.932	0	0
LS_11_6_2012	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.480	20530	0.106	0	9410	0.203	9255	98.353	155	1.647	0	0.000	812439	17.563	437134	9.450	13	244245
LS_11_6_2012	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.364	26200	0.063	0	11395	0.237	11131	97.683	264	2.317	0	0.000	670570	13.950	391804	8.151	16	430142
LS_11_6_2012	Esch_coli_MVAST0167	NZ_CP014493.1	128305	0.113	59	0.000	0	527	0.411	527	100.000	0	0.000	0	0.000	1224	0.954	0	0.000	0	0
LS_11_6_2012	Esch_coli_MVAST0167	NZ_CP014494.1	78992	0.041	26	0.000	0	88	0.111	87	98.864	1	1.136	0	0.000	0	0.000	0	0.000	0	0
LS_11_6_2012	Esch_coli_Santai	NZ_CP007592.1	5104557	0.456	41344	0.097	0	12803	0.251	12531	97.875	272	2.125	2	0.016	901778	17.666	538316	10.546	20	519022
LS_11_6_2012	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.466	17269	0.091	0	7406	0.161	7238	97.732	168	2.268	0	0.000	818283	17.807	445634	9.698	16	286266
LS_11_6_2012	Esch_coli_AR_0061	NZ_CP020059.1	87982	0.022	57	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	3615	4.109	3261	3.706	0	0
LS_11_6_2012	Esch_coli_AR_0061	NZ_CP020060.1	50999	0.040	2	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	63	0.124	0	0.000	0	0
LS_11_6_2012	TOTAL	-	50385128	13.289	3741770	12.252	0	3081416	6.116	3076936	99.855	4480	0.145	89	0.003	11491469	22.807	6430140	12.762	212	4516910
LS_1_26_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.087	1164	0.004	0	6236	0.123	6212	99.615	24	0.385	2	0.032	37550	0.742	2413	0.048	1	72473
LS_1_26_2013	Esch_coli_EC-1639	NZ_LR025102.1	94720	0.134	147	0.000	0	962	1.016	961	99.896	1	0.104	0	0.000	3047	3.217	3066	3.237	0	0
LS_1_26_2013	Esch_coli_EC-1639	NZ_LR025103.1	31016	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	31016
LS_1_26_2013	Esch_coli_EC-1639	NZ_LR025104.1	21855	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	21855
LS_1_26_2013	Esch_coli_EC-1639	NZ_LR025105.1	63589	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	63589
LS_1_26_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	0.103	1924	0.006	0	12424	0.239	12365	99.525	59	0.475	1	0.008	34505	0.663	2547	0.049	2	113493
LS_1_26_2013	Esch_coli_118UI	NZ_CP032517.1	4724	0.105	5	0.000	0	40	0.847	40	100.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
LS_1_26_2013	Esch_coli_118UI	NZ_CP032516.1	90328	0.016	5	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	65	0.072	0	0.000	0	0
LS_1_26_2013	Esch_coli_D5	NZ_CP010145.1	4817460	0.113	1205	0.007	0	7671	0.159	7660	99.857	11	0.143	0	0.000	42295	0.878	1405	0.029	1	51539
LS_1_26_2013	Esch_coli_D5	NZ_CP010146.1	112874	0.086	34	0.000	0	730	0.647	729	99.863	1	0.137	0	0.000	2687	2.381	1544	1.368	0	0
LS_1_26_2013	Esch_coli_D5	NZ_CP010147.1	88754	0.003	1	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
LS_1_26_2013	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.090	497	0.003	0	3813	0.078	3800	99.659	13	0.341	0	0.000	37697	0.775	1195	0.025	7	484105
LS_1_26_2013	Esch_coli_2011C-3911	NZ_CP015239.1	125977	0.016	6	0.000	0	36	0.029	34	94.444	2	5.556	0	0.000	0	0.000	0	0.000	0	0
LS_1_26_2013	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.030	433	0.001	0	4099	0.081	3787	92.388	311	7.591	2	0.049	17600	0.347	2129	0.042	4	908997
LS_1_26_2013	Esch_coli_PA45B	NZ_CP021289.1	147172	0.068	44	0.000	0	541	0.368	534	98.706	7	1.294	0	0.000	477	0.324	0	0.000	0	0
LS_1_26_2013	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.051	875	0.002	0	4109	0.083	3953	96.203	156	3.797	0	0.000	19447	0.393	1417	0.029	2	217749
LS_1_26_2013	Esch_coli_MSHS_133	NZ_CP041303.1	157660	0.035	45	0.000	0	814	0.516	768	94.349	46	5.651	0	0.000	0	0.000	7	0.004	0	0
LS_1_26_2013	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.145	1847	0.009	0	18814	0.407	18731	99.559	83	0.441	0	0.000	49367	1.067	1484	0.032	4	180536
LS_1_26_2013	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.034	485	0.001	0	2391	0.050	2208	92.346	183	7.657	1	0.042	18171	0.378	1586	0.033	0	0
LS_1_26_2013	Esch_coli_MVAST0167	NZ_CP014493.1	128305	0.079	54	0.000	0	419	0.327	413	98.568	6	1.432	0	0.000	203	0.158	0	0.000	0	0
LS_1_26_2013	Esch_coli_MVAST0167	NZ_CP014494.1	78992	0.048	30	0.000	0	240	0.304	240	100.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
LS_1_26_2013	Esch_coli_Santai	NZ_CP007592.1	5104557	0.056	825	0.002	0	4474	0.088	4379	97.877	95	2.123	0	0.000	30327	0.594	4939	0.097	3	344856
LS_1_26_2013	Esch_coli_AR_0061	NZ_CP020058.1	4595238	0.126	1224	0.006	0	11818	0.257	11722	99.188	96	0.812	0	0.000	48938	1.065	1645	0.036	2	104737
LS_1_26_2013	Esch_coli_AR_0061	NZ_CP020059.1	87982	0.029	30	0.000	0	11	0.013	11	100.000	0	0.000	0	0.000	3577	4.066	3152	3.583	0	0
LS_1_26_2013	Esch_coli_AR_0061	NZ_CP020060.1	50999	0.115	66	0.000	0	909	1.782	841	92.519	68	7.481	0	0.000	203	0.398	183	0.359	0	0
LS_1_26_2013	TOTAL	-	50385128	0.082	10946	0.042	0	80551	0.160	79388	98.556	1162	1.443	6	0.007	346156	0.687	28712	0.057	29	2594945
LS_2_8_2013	Esch_coli_EC-1639	NZ_LR025101.1	5059899	0.826	16765	0.105	1	351548	6.948	348838	99.229	2710	0.771	197	0.056	522066	10.318	8747	0.173	1	31599
LS_2_8_2013	Esch_coli_EC-1639	NZ_LR025102.1	94720	0.985	469	0.003	1	10905	11.513	10903	99.982	2	0.018	0	0.000	10399	10.979	1991	2.102	0	0
LS_2_8_2013	Esch_coli_EC-1639	NZ_LR025103.1	31016	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	31016
LS_2_8_2013	Esch_coli_EC-1639	NZ_LR025104.1	21855	0.000	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	1	21855
LS_2_8_2013	Esch_coli_EC-1639	NZ_LR025105.1	63589	0.005	0	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
LS_2_8_2013	Esch_coli_118UI	NZ_CP032515.1	5205677	0.617	10033	0.064	0	145756	2.800	143468	98.430	2288	1.570	58	0.040	518134	9.953	17723	0.340	16	310258
LS_2_8_2013	Esch_coli_118UI	NZ_CP032517.1	4724	0.112	4	0.000	0	3	0.064	3	100.000	0	0.000	0	0.000	0	0.000	0	0.000	0	0
LS_2_8_2013	Esch_coli_118UI	NZ_CP032516.1	90328	0.260	7	0.000	0	74	0.082	67	90.541	7	9.459	0	0.000	5686	6.295	386	0.427	2	54812
LS_2_8_2013	Esch_coli_D5	NZ_CP010145.1	4817460	0.251	2140	0.026	0	17569	0.365	16573	94.331	996	5.675	19	0.108	224175	4.653	12739	0.264	14	417641
LS_2_8_2013	Esch_coli_D5	NZ_CP010146.1	112874	0.082	33	0.000	0	435	0.385	434	99.770	1	0.230	0	0.000	1742	1.543	761	0.674	0	0
LS_2_8_2013	Esch_coli_D5	NZ_CP010147.1	88754	0.047	6	0.000	0	0	0.000	0	0.000	0	0.000	0	0.000	471	0.531	0	0.000	0	0
LS_2_8_2013	Esch_coli_2011C-3911	NZ_CP015240.1	4863599	0.221	1991	0.021	0	15647	0.322	14396	92.005	1251	8.001	11	0.070	212995	4.379	13090	0.269	19	632303
LS_2_8_2013	Esch_coli_2011C-3911	NZ_CP015239.1	125977	0.119	44	0.000	0	1345	1.068	1321	98.216	24	1.784	0	0.000	2400	1.905	0	0.000	0	0
LS_2_8_2013	Esch_coli_PA45B	NZ_CP021288.1	5074754	0.198	3006	0.014	0	28028	0.552	25586	91.287	2442	8.713	0	0.000	198271	3.907	14621	0.288	19	836253
LS_2_8_2013	Esch_coli_PA45B	NZ_CP021289.1	147172	0.393	246	0.001	0	6619	4.497	6575	99.335	44	0.665	0	0.000	6719	4.565	344	0.234	2	34895
LS_2_8_2013	Esch_coli_MSHS_133	NZ_CP041304.1	4946083	0.272	5275	0.023	0	46291	0.936	43396	93.746	2895	6.255	9	0.019	211163	4.269	14311	0.289	11	358040
LS_2_8_2013	Esch_coli_MSHS_133	NZ_CP041303.1	157660	0.135	88	0.000	0	2234	1.417	2207	98.791	27	1.209	0	0.000	1714	1.087	0	0.000	1	75662
LS_2_8_2013	Esch_coli_NCTC122	NZ_LT906474.1	4625968	0.251	3359	0.034	0	22738	0.492	21354	93.913	1384	6.089	7	0.031	209795	4.535	17905	0.387	8	260745
LS_2_8_2013	Esch_coli_MVAST0167	NZ_CP014492.1	4806946	0.216	3627	0.017	0	36407	0.757	33131	91.002	3275	8.996	2	0.005	196520	4.088	14957	0.311	12	551131
